REF_AREA,Country,Measure,UNIT_MEASURE,Unit of measure,Age,Sex,Education,Domain,Year,OBS_VALUE
DNK,Denmark,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,59.49713817
ITA,Italy,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,61.23115296
NLD,Netherlands,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,78.20533795
DEU,Germany,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,67.47249856
FRA,France,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,62.17770305
GRC,Greece,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,69.04221644
BEL,Belgium,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,57.65280958
CZE,Czechia,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,86.24700438
ESP,Spain,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,73.4068352
POL,Poland,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,68.2859676
PRT,Portugal,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,51.68694425
LUX,Luxembourg,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,84.75969258
LTU,Lithuania,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,75.86079862
EST,Estonia,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,72.85023131
HUN,Hungary,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,58.88005312
LVA,Latvia,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,68.87583945
SWE,Sweden,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,91.39688088
FIN,Finland,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,93.88114737
GBR,United Kingdom,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,56.90434222
CHE,Switzerland,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,69.53144407
AUT,Austria,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,77.25252748
NOR,Norway,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,66.43005194
IRL,Ireland,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,71.30544337
ISL,Iceland,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,39.43915015
SVK,Slovak Republic,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,78.72563231
SVN,Slovenia,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,59.66128104
ROU,Romania,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,40.28945422
HRV,Croatia,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,58.59295381
BGR,Bulgaria,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,61.22030035
DNK,Denmark,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,58.81582807
ITA,Italy,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,61.94855829
NLD,Netherlands,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,77.82013496
DEU,Germany,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,67.50849913
FRA,France,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,61.89380523
GRC,Greece,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,69.46991504
BEL,Belgium,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,57.35329644
CZE,Czechia,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,86.38249548
ESP,Spain,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,72.3320998
POL,Poland,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,69.71028985
PRT,Portugal,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,49.88195567
LUX,Luxembourg,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,83.55596843
LTU,Lithuania,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,75.78816694
EST,Estonia,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,75.06893014
HUN,Hungary,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,58.69330918
LVA,Latvia,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,68.49447841
SWE,Sweden,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,91.46089643
FIN,Finland,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,94.43531491
GBR,United Kingdom,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,58.02470019
CHE,Switzerland,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,69.53179113
AUT,Austria,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,77.44684168
NOR,Norway,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,66.20989174
IRL,Ireland,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,71.08577405
ISL,Iceland,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,37.66362881
SVK,Slovak Republic,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,78.73732098
SVN,Slovenia,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,59.40673678
ROU,Romania,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,39.5016908
HRV,Croatia,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,56.54615925
BGR,Bulgaria,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,62.75852693
CZE,Czechia,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2023,265.5056861
HUN,Hungary,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2023,252.4152305
LTU,Lithuania,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2023,240.3977709
AUT,Austria,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2023,257.6543956
EST,Estonia,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2023,276.8014289
SWE,Sweden,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2023,284.0827153
NOR,Norway,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2023,281.4168083
FIN,Finland,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2023,302.7202712
JPN,Japan,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2023,290.6883045
SVK,Slovak Republic,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2023,254.36808
FIN,Finland,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2023,305.5994435
HUN,Hungary,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2023,249.4052103
POL,Poland,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2023,234.1389688
CHL,Chile,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2023,217.6973126
SWE,Sweden,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2023,284.7173281
NOR,Norway,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2023,284.2301648
NZL,New Zealand,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2023,265.6764719
IRL,Ireland,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2023,263.2620442
ESP,Spain,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2023,248.0599953
CZE,Czechia,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2023,264.9269016
HUN,Hungary,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2023,246.4086628
CAN,Canada,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2023,273.1219057
USA,United States,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2023,259.2944508
CHL,Chile,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2023,217.9028962
EST,Estonia,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2023,271.8389698
NZL,New Zealand,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2023,253.4879058
AUT,Austria,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2023,257.53921
JPN,Japan,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2023,290.7526463
EST,Estonia,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2023,281.6972592
POL,Poland,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2023,237.2502168
NLD,Netherlands,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2023,280.6796517
KOR,Korea,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2023,250.5057268
FRA,France,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2023,253.3816349
KOR,Korea,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2023,248.6592541
SWE,Sweden,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2023,283.4793331
CAN,Canada,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2023,272.8081672
DNK,Denmark,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2023,279.5873629
ESP,Spain,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2023,249.8258218
DEU,Germany,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2023,269.6879098
LTU,Lithuania,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2023,238.3978973
FRA,France,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2023,255.3960516
CAN,Canada,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2023,272.9659007
DNK,Denmark,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2023,280.9172852
ITA,Italy,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2023,247.2133
IRL,Ireland,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2023,261.2517165
SVK,Slovak Republic,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2023,254.3032068
NLD,Netherlands,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2023,283.9614079
ISR,Israel,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2023,247.7475622
ISR,Israel,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2023,242.0142265
ITA,Italy,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2023,245.7274115
CZE,Czechia,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2023,265.2193375
FRA,France,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2023,257.3581097
ISR,Israel,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2023,244.8899461
ITA,Italy,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2023,244.233138
DNK,Denmark,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2023,278.2805172
LTU,Lithuania,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2023,236.2777422
AUT,Austria,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2023,257.4234798
POL,Poland,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2023,235.7071742
NOR,Norway,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2023,282.8027313
NZL,New Zealand,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2023,259.6184668
JPN,Japan,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2023,290.7199825
USA,United States,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2023,257.7250284
CHL,Chile,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2023,218.1085438
DEU,Germany,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2023,271.4339817
FIN,Finland,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2023,299.9050509
IRL,Ireland,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2023,265.2346879
KOR,Korea,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2023,249.6052567
DEU,Germany,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2023,267.9675545
USA,United States,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2023,260.8608521
ESP,Spain,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2023,248.9407031
SVK,Slovak Republic,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2023,254.4345835
NLD,Netherlands,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2023,282.3212384
NOR,Norway,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2023,301.0700412
ESP,Spain,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2023,219.9382538
ESP,Spain,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2023,244.7104779
CZE,Czechia,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2023,295.5206285
SVK,Slovak Republic,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2023,252.847806
POL,Poland,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2023,255.0131134
SVK,Slovak Republic,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2023,219.0617918
EST,Estonia,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2023,258.4650265
IRL,Ireland,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2023,210.1647337
IRL,Ireland,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2023,250.9096754
FIN,Finland,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2023,242.0398768
BEL,Belgium,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2023,220.3982433
ISR,Israel,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2023,225.6049897
NLD,Netherlands,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2023,229.7739972
DEU,Germany,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2023,202.8852658
HUN,Hungary,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2023,284.6076704
SWE,Sweden,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2023,240.6372782
NZL,New Zealand,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2023,283.3955001
ITA,Italy,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2023,217.4502843
BEL,Belgium,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2023,278.4612713
USA,United States,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2023,241.7618752
DNK,Denmark,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2023,298.3642467
LTU,Lithuania,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2023,225.5231532
DNK,Denmark,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2023,268.5519028
LTU,Lithuania,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2023,255.3628754
EST,Estonia,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2023,230.7636729
ITA,Italy,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2023,252.1529545
USA,United States,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2023,287.3051171
JPN,Japan,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2023,224.56934
POL,Poland,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2023,202.1804674
SVK,Slovak Republic,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2023,271.1177984
ISR,Israel,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2023,193.2286375
DEU,Germany,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2023,258.7250709
DEU,Germany,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2023,292.9896249
AUT,Austria,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2023,287.5321427
CAN,Canada,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2023,211.9495796
CHL,Chile,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2023,249.1635196
FIN,Finland,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2023,289.3926594
BEL,Belgium,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2023,261.1934295
IRL,Ireland,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2023,281.4443617
CZE,Czechia,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2023,224.9146535
AUT,Austria,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2023,249.796634
AUT,Austria,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2023,201.3679692
BEL,Belgium,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2023,303.6114806
ESP,Spain,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2023,271.9049311
ISR,Israel,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2023,264.7301693
NOR,Norway,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2023,228.7743415
CZE,Czechia,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2023,253.2440645
KOR,Korea,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2023,193.4161487
KOR,Korea,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2023,229.6840493
NOR,Norway,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2023,269.7933499
BEL,Belgium,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2023,278.7866896
CAN,Canada,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2023,260.8302771
JPN,Japan,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2023,275.2987124
CHL,Chile,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2023,210.2225657
FIN,Finland,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2023,321.5050733
FRA,France,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2023,192.6888616
POL,Poland,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2023,228.0744531
DNK,Denmark,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2023,228.4828254
LTU,Lithuania,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2023,197.8944873
HUN,Hungary,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2023,194.9398479
ITA,Italy,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2023,271.4597567
SWE,Sweden,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2023,300.3064793
NLD,Netherlands,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2023,276.3110225
CAN,Canada,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2023,287.9138178
FRA,France,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2023,287.1919813
USA,United States,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2023,183.5356684
NZL,New Zealand,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2023,254.9188341
HUN,Hungary,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2023,236.9296017
NZL,New Zealand,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2023,206.8588592
KOR,Korea,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2023,264.1389762
SWE,Sweden,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2023,282.7493163
FRA,France,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2023,240.424521
NLD,Netherlands,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2023,302.870082
BEL,Belgium,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2023,278.1402297
CHL,Chile,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2023,161.4905345
EST,Estonia,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2023,295.3036397
JPN,Japan,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2023,309.173409
HUN,Hungary,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2017,265.1942815
HUN,Hungary,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2017,263.9615867
MEX,Mexico,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2017,233.16938
MEX,Mexico,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2017,226.22097
USA,United States,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2017,272.21002
HUN,Hungary,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2017,262.6967637
USA,United States,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2017,270.87962
MEX,Mexico,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2017,220.87848
HUN,Hungary,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2017,254.1065
MEX,Mexico,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2017,222.34198
HUN,Hungary,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2017,270.41436
HUN,Hungary,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2017,272.1347
MEX,Mexico,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2017,221.58141
USA,United States,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2017,265.01532
USA,United States,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2017,276.78509
MEX,Mexico,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2017,205.1214
USA,United States,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2017,270.29572
USA,United States,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2017,271.44155
HUN,Hungary,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2017,295.2464506
HUN,Hungary,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2017,218.6653347
HUN,Hungary,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2017,260.6951141
LTU,Lithuania,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2015,268.4704297
CHL,Chile,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2015,223.9353529
NZL,New Zealand,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2015,280.6872488
USA,United States,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2015,271.7227703
CHL,Chile,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2015,220.1467204
NZL,New Zealand,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2015,280.6574643
LTU,Lithuania,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2015,266.8237872
ISR,Israel,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2015,255.0367015
ISR,Israel,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2015,255.4464554
ISR,Israel,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2015,255.2375126
LTU,Lithuania,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2015,264.9725134
NZL,New Zealand,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2015,280.6728804
USA,United States,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2015,272.2585696
CHL,Chile,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2015,216.3630097
USA,United States,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2015,271.2098589
ISR,Israel,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2015,241.1967098
NZL,New Zealand,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2015,298.7315419
USA,United States,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2015,260.3486622
LTU,Lithuania,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2015,256.4713351
LTU,Lithuania,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2015,285.6174921
USA,United States,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2015,299.5965525
ISR,Israel,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2015,200.7178921
CHL,Chile,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2015,254.0463196
ISR,Israel,Adult literacy skills,PO,Points,Total,Total,Tertiary education,Knowledge and skills,2015,275.0843022
CHL,Chile,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2015,219.0251947
LTU,Lithuania,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2015,244.1500199
USA,United States,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2015,208.5475287
NZL,New Zealand,Adult literacy skills,PO,Points,Total,Total,Secondary education,Knowledge and skills,2015,277.511326
NZL,New Zealand,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2015,247.2693153
CHL,Chile,Adult literacy skills,PO,Points,Total,Total,Primary education,Knowledge and skills,2015,176.9455682
LTU,Lithuania,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2014,268.47043
SVN,Slovenia,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2014,242.20434
GRC,Greece,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2014,251.64743
